title,price,currency,url,image_url,brand,description,width,height,depth,material,color,new_used
Rattan 2-seat,13490,SEK,https://example.com/sofa26,https://picsum.photos/400/300?26,Example Brand,Woven rattan two-seater.,175,82,88,rattan,brown,new
Black fabric modular,23990,SEK,https://example.com/sofa27,https://picsum.photos/400/300?27,Example Brand,Modular in black fabric.,255,88,98,fabric,black,new
Camel leather sofa,27990,SEK,https://example.com/sofa28,https://picsum.photos/400/300?28,Example Brand,Camel leather three-seater.,228,86,96,leather,beige,new
Mint boucle armchair,7990,SEK,https://example.com/sofa29,https://picsum.photos/400/300?29,Example Brand,Mint green boucle chair.,90,77,84,boucle,green,new
Terracotta linen,16490,SEK,https://example.com/sofa30,https://picsum.photos/400/300?30,Example Brand,Terracotta linen loveseat.,172,84,91,linen,terracotta,new
Gray metal frame,7190,SEK,https://example.com/sofa31,https://picsum.photos/400/300?31,Example Brand,Metal frame with gray cushion.,75,72,76,metal,gray,new
White leather 2-seat,22990,SEK,https://example.com/sofa32,https://picsum.photos/400/300?32,Example Brand,White leather two-seater.,182,83,93,leather,white,new
Olive velvet sectional,26990,SEK,https://example.com/sofa33,https://picsum.photos/400/300?33,Example Brand,Olive green velvet L-shape.,270,90,100,velvet,green,new
Oak and fabric bench,5290,SEK,https://example.com/sofa34,https://picsum.photos/400/300?34,Example Brand,Oak frame fabric top bench.,130,46,52,wood,gray,new
Burgundy boucle,9490,SEK,https://example.com/sofa35,https://picsum.photos/400/300?35,Example Brand,Burgundy boucle accent.,86,74,80,boucle,brown,new
Stone linen sofa,17490,SEK,https://example.com/sofa36,https://picsum.photos/400/300?36,Example Brand,Stone gray linen sofa.,205,86,94,linen,gray,new
Rattan lounge chair,6890,SEK,https://example.com/sofa37,https://picsum.photos/400/300?37,Example Brand,Rattan lounge single.,95,80,90,rattan,cream,new
Mustard velvet,10490,SEK,https://example.com/sofa38,https://picsum.photos/400/300?38,Example Brand,Mustard yellow velvet chair.,92,79,86,velvet,beige,new
Charcoal leather,21990,SEK,https://example.com/sofa39,https://picsum.photos/400/300?39,Example Brand,Charcoal leather 2-seat.,188,82,90,leather,charcoal,new
Fabric corner unit,28990,SEK,https://example.com/sofa40,https://picsum.photos/400/300?40,Example Brand,Corner unit in gray fabric.,260,92,108,fabric,gray,new
Cream linen armchair,8890,SEK,https://example.com/sofa41,https://picsum.photos/400/300?41,Example Brand,Cream linen armchair.,88,76,82,linen,cream,new
Wood and boucle,7790,SEK,https://example.com/sofa42,https://picsum.photos/400/300?42,Example Brand,Wood legs boucle seat.,82,72,78,boucle,white,new
Teal velvet loveseat,19490,SEK,https://example.com/sofa43,https://picsum.photos/400/300?43,Example Brand,Teal velvet loveseat.,176,85,92,velvet,blue,new
Brown rattan chair,5990,SEK,https://example.com/sofa44,https://picsum.photos/400/300?44,Example Brand,Brown rattan accent.,78,75,80,rattan,brown,new
Black metal stool,2490,SEK,https://example.com/sofa45,https://picsum.photos/400/300?45,Example Brand,Metal bar stool black.,45,95,45,metal,black,new
Sand fabric 3-seat,19990,SEK,https://example.com/sofa46,https://picsum.photos/400/300?46,Example Brand,Sand beige three-seater.,220,87,96,fabric,beige,new
Leather recliner gray,16990,SEK,https://example.com/sofa47,https://picsum.photos/400/300?47,Example Brand,Gray leather recliner.,105,100,98,leather,gray,new
Lilac boucle 2-seat,20990,SEK,https://example.com/sofa48,https://picsum.photos/400/300?48,Example Brand,Lilac boucle two-seater.,180,84,92,boucle,white,new
Natural linen daybed,14490,SEK,https://example.com/sofa49,https://picsum.photos/400/300?49,Example Brand,Natural linen daybed.,195,88,90,linen,cream,new
Emerald velvet chair,10990,SEK,https://example.com/sofa50,https://picsum.photos/400/300?50,Example Brand,Emerald green velvet.,94,81,87,velvet,green,new
Oak reading chair,8290,SEK,https://example.com/sofa51,https://picsum.photos/400/300?51,Example Brand,Oak frame reading chair.,90,78,85,wood,brown,new
Slate fabric sofa,18490,SEK,https://example.com/sofa52,https://picsum.photos/400/300?52,Example Brand,Slate gray fabric sofa.,212,86,95,fabric,gray,new
White rattan 2-seat,15490,SEK,https://example.com/sofa53,https://picsum.photos/400/300?53,Example Brand,White rattan two-seater.,170,80,86,rattan,white,new
Tan leather armchair,13990,SEK,https://example.com/sofa54,https://picsum.photos/400/300?54,Example Brand,Tan leather armchair.,96,83,89,leather,beige,new
Dusty rose velvet,16490,SEK,https://example.com/sofa55,https://picsum.photos/400/300?55,Example Brand,Dusty rose velvet seat.,168,84,90,velvet,pink,new
Concrete metal bench,4290,SEK,https://example.com/sofa56,https://picsum.photos/400/300?56,Example Brand,Metal bench concrete look.,125,48,50,metal,gray,new
Oatmeal boucle chair,9190,SEK,https://example.com/sofa57,https://picsum.photos/400/300?57,Example Brand,Oatmeal boucle accent.,87,73,79,boucle,beige,new
Sage linen loveseat,17990,SEK,https://example.com/sofa58,https://picsum.photos/400/300?58,Example Brand,Sage linen loveseat.,174,85,91,linen,green,new
Warm gray fabric,14990,SEK,https://example.com/sofa59,https://picsum.photos/400/300?59,Example Brand,Warm gray two-seater.,177,83,89,fabric,gray,new
Cognac leather 3-seat,29990,SEK,https://example.com/sofa60,https://picsum.photos/400/300?60,Example Brand,Cognac leather three-seat.,230,88,99,leather,brown,new
